"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59"
"M4W","M4W",44.80,1465.00,290.00,110.00,140.00,975.00,5095.00,0.00,0.00,1.90,51200.00,60400.00,15145.00,9145.00,5100.00,900.00,15145.00,6340.00,3430.00,5375.00,3775.00,2695.00,785.00,255.00,30.00,8020.00,4490.00,3530.00,0.00,8020.00,4525.00,3495.00,8020.00,2640.00,1110.00,690.00,740.00,1080.00,260.00,450.00,1055.00,7930.00,4875.00,3050.00,3530.00,3.30,50.60,21.90,2000.00,2208.00,3245.00,815.00,1395.00,695.00,175.00,170.00,7225.00,8075.00
"M4X","M4X",39.20,85.00,280.00,430.00,100.00,940.00,8030.00,15.00,0.00,2.00,28000.00,29600.00,19845.00,7985.00,10220.00,1645.00,19840.00,12165.00,4355.00,3320.00,9060.00,4400.00,2535.00,1965.00,165.00,9850.00,1515.00,8335.00,0.00,9850.00,820.00,9025.00,9850.00,2840.00,4565.00,825.00,510.00,155.00,560.00,190.00,205.00,9770.00,6640.00,3130.00,8340.00,29.40,33.90,33.70,1210.00,1208.00,5915.00,980.00,1810.00,1800.00,610.00,715.00,10465.00,9430.00
"M4Y","M4Y",33.20,25.00,30.00,240.00,25.00,1755.00,20645.00,15.00,0.00,1.50,34400.00,37200.00,35255.00,16120.00,13780.00,5350.00,35250.00,19615.00,7445.00,8195.00,12335.00,8710.00,2325.00,1250.00,50.00,22815.00,6510.00,16305.00,0.00,22815.00,13800.00,9015.00,22815.00,3050.00,5190.00,2155.00,1665.00,1040.00,2105.00,2650.00,4960.00,22250.00,11090.00,11160.00,16305.00,9.20,52.30,25.80,1740.00,1762.00,8790.00,1790.00,3230.00,2240.00,800.00,730.00,19645.00,16670.00
"M5A","M5A",36.40,125.00,350.00,1765.00,250.00,3485.00,21245.00,100.00,0.00,1.80,35200.00,38400.00,47425.00,26140.00,18640.00,2645.00,47430.00,21780.00,12695.00,12950.00,16355.00,7885.00,4445.00,3805.00,220.00,27205.00,9585.00,17625.00,0.00,27205.00,14605.00,12600.00,27205.00,4035.00,4545.00,2355.00,2115.00,1360.00,2075.00,4655.00,6075.00,26870.00,17800.00,9070.00,17625.00,34.70,35.40,25.80,1380.00,1396.00,12295.00,2460.00,4290.00,3490.00,1085.00,965.00,25350.00,23630.00
"M5B","M5B",31.40,5.00,15.00,200.00,25.00,375.00,9905.00,15.00,0.00,1.60,29400.00,31000.00,17085.00,6945.00,7395.00,2745.00,17085.00,10415.00,3680.00,2995.00,6840.00,4590.00,1435.00,755.00,60.00,10640.00,3020.00,7625.00,0.00,10640.00,7365.00,3275.00,10640.00,760.00,1455.00,1165.00,1285.00,665.00,880.00,1010.00,3425.00,10390.00,5200.00,5190.00,7620.00,17.30,52.00,23.90,1680.00,1646.00,4175.00,950.00,1485.00,965.00,385.00,385.00,9020.00,8400.00
"M5C","M5C",36.40,0.00,0.00,0.00,0.00,60.00,1820.00,0.00,0.00,1.60,49200.00,57200.00,3055.00,1745.00,1150.00,155.00,3055.00,1335.00,775.00,950.00,1070.00,630.00,265.00,150.00,20.00,1870.00,885.00,985.00,0.00,1870.00,1580.00,290.00,1870.00,70.00,95.00,220.00,695.00,200.00,360.00,90.00,140.00,1830.00,1185.00,645.00,985.00,13.20,40.60,18.90,1800.00,1828.00,800.00,215.00,295.00,160.00,75.00,50.00,1590.00,1560.00
"M5E","M5E",34.40,10.00,0.00,5.00,0.00,50.00,7205.00,0.00,0.00,1.60,51200.00,60000.00,12035.00,6230.00,4905.00,905.00,12035.00,5975.00,3080.00,2985.00,4250.00,3130.00,785.00,320.00,15.00,7410.00,3085.00,4320.00,0.00,7410.00,6655.00,755.00,7410.00,130.00,245.00,1095.00,895.00,315.00,1200.00,1475.00,2060.00,7325.00,4620.00,2710.00,4320.00,11.90,40.30,16.20,2060.00,2044.00,2850.00,805.00,970.00,690.00,165.00,225.00,5820.00,5960.00
"M5G","M5G",30.80,5.00,0.00,0.00,0.00,30.00,5705.00,0.00,0.00,1.70,33200.00,35600.00,9555.00,3465.00,4160.00,1930.00,9555.00,6360.00,1890.00,1300.00,3845.00,2990.00,570.00,270.00,15.00,5680.00,1685.00,4000.00,0.00,5680.00,4725.00,960.00,5680.00,90.00,335.00,990.00,765.00,325.00,1250.00,945.00,985.00,5525.00,2690.00,2835.00,3995.00,9.30,56.10,21.00,2000.00,1990.00,2610.00,1005.00,885.00,405.00,145.00,165.00,4685.00,5070.00
"M5H","M5H",31.40,0.00,0.00,0.00,0.00,0.00,1880.00,0.00,0.00,1.60,44000.00,49200.00,3195.00,1285.00,1375.00,535.00,3190.00,1935.00,765.00,495.00,1265.00,975.00,185.00,100.00,0.00,1955.00,700.00,1255.00,0.00,1955.00,1955.00,0.00,1955.00,0.00,0.00,10.00,105.00,225.00,270.00,705.00,615.00,1850.00,1010.00,835.00,1250.00,0.00,46.60,16.90,2000.00,2316.00,730.00,250.00,205.00,170.00,45.00,65.00,1690.00,1555.00
"M5J","M5J",33.60,240.00,25.00,0.00,0.00,5.00,9885.00,0.00,0.00,1.70,48000.00,55600.00,16335.00,6815.00,7770.00,1745.00,16335.00,9760.00,3340.00,3235.00,6995.00,5475.00,1165.00,290.00,65.00,9930.00,4305.00,5625.00,0.00,9930.00,9670.00,260.00,9930.00,260.00,1025.00,1205.00,820.00,1145.00,1565.00,1770.00,2155.00,9700.00,5900.00,3795.00,5620.00,0.50,43.80,13.20,2100.00,2214.00,3535.00,725.00,1415.00,805.00,325.00,260.00,8460.00,8420.00
