"COL0","COL1","COL2"
"M4G","M4G",19598.00
"M4H","M4H",18698.00
"M4J","M4J",35128.00
"M4K","M4K",30913.00
"M4L","M4L",32218.00
"M4M","M4M",25052.00
"M4N","M4N",16058.00
"M4P","M4P",25057.00
"M4R","M4R",11909.00
"M4S","M4S",30754.00
"M4T","M4T",10332.00
"M4V","M4V",19273.00
"M4W","M4W",15296.00
"M4X","M4X",19896.00
"M4Y","M4Y",36319.00
"M5A","M5A",48978.00
"M5B","M5B",17422.00
"M5C","M5C",3149.00
"M5E","M5E",11779.00
"M5G","M5G",9751.00
"M5H","M5H",3248.00
"M5J","M5J",16879.00
"M5M","M5M",25495.00
"M5N","M5N",16154.00
"M5P","M5P",19791.00
"M5R","M5R",26197.00
"M5S","M5S",17074.00
"M5T","M5T",17903.00
"M5V","M5V",59912.00
"M6A","M6A",22380.00
"M6B","M6B",28534.00
"M6C","M6C",23997.00
"M6E","M6E",37684.00
"M6G","M6G",30600.00
"M6H","M6H",43730.00
"M6J","M6J",32111.00
"M6K","M6K",42110.00
"M6L","M6L",20156.00
"M6M","M6M",42148.00
"M6N","M6N",40252.00
"M6P","M6P",39870.00
"M6R","M6R",19349.00
"M6S","M6S",34029.00
"M7A","M7A",5.00
"M8V","M8V",44144.00
"M8W","M8W",22381.00
"M8X","M8X",10624.00
"M8Y","M8Y",21986.00
"M8Z","M8Z",19312.00
"M9A","M9A",36642.00
"M9B","M9B",33236.00
"M9C","M9C",38725.00
"M9L","M9L",11737.00
"M9M","M9M",24245.00
"M9N","M9N",26059.00
"M9P","M9P",20645.00
"M9R","M9R",33783.00
